what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepReturn",1327074206931
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1327074224769
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1327074227657
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1327074230713
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1327074234803
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074269667
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074270520
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074272004
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074280455
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074282640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074292617
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074293514
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074313999
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1327074315273
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1327074324719
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1327074324870
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074346581
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074347390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074348924
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074538597
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074541835
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074583078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074596261
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074616721
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074617732
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074663128
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074664355
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074717628
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074719525
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327074723526
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1327074725898
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1327074728408
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1327074730634
