what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327070808544
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327070808590
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1327070808685
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1327070808686
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1327070808687
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1327070808845
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1327070808896
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327070811702
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1327070818205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327070818336
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327070820183
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327070821793
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1327070827144
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327070832037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327070833160
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327070851375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327070854566
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327070878951
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327070882576
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1327070882704
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327070883168
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327070906491
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327070907123
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327070925174
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1327071624446
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327071624991
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1327071661151
